RIN,INCIDENT_DATE,LOCATION_DISTRICT,INCIDENT_REASON,REASON_FOR_FORCE,SUBJECT_GENDER,SUBJECT_RACE,SUBJECT_ROLE,SUBJECT_DESCRIPTION,REASON_FOR_FORCE1,TYPE_OF_FORCE_USED1,TYPE_OF_FORCE_USED2,TYPE_OF_FORCE_USED3,TYPE_OF_FORCE_USED4,NUMBER_EC_CYCLES,SUBJECT_INJURY_TYPE,OFFICER_INJURY_TYPE,OFFICER_YEARS_ON_FORCE,Y_COORDINATE,Y_COORDINATE.1,LOCATION_DISTRICT.1,LOCATION_FULL_STREET_ADDRESS_OR_INTERSECTION,LOCATION_LATITUDE,LOCATION_LONGITUDE,Unnamed: 24
158661,3/30/15,7,2,0,1,2,0,3,0,0,0,0,0,0,0,0,2,3097964,10031982,5,333,,,
158662,3/30/15,7,2,0,1,2,0,3,0,0,0,0,0,0,0,0,2,3097964,10031982,5,333,,,
175966,9/19/16,8,0,0,1,2,0,2,8,0,0,0,0,0,0,0,3,3115565,10070504,9,103,,,
175967,9/19/16,8,0,0,1,2,0,0,8,0,0,0,0,0,0,0,3,3115565,10070504,9,103,,,
175858,9/19/16,8,0,5,1,2,0,0,8,4,0,0,0,0,0,0,6,3115565,10070504,9,103,,,
168455,11/18/15,5,2,0,2,5,0,0,2,0,0,0,0,0,0,0,23,3087823,10051622,5,334,,,
169610,12/21/15,8,0,0,1,5,0,0,1,4,1,0,0,0,1,0,8,3115535,10070296,9,1,,,
169633,12/21/15,8,0,0,1,5,0,0,11,0,0,0,0,0,1,0,3,3115535,10070296,9,1,,,
169698,12/21/15,8,0,0,1,5,0,0,11,2,0,0,0,5,1,0,5,3115535,10070296,9,1,,,
175964,9/19/16,8,0,5,3,3,0,2,10,0,0,0,0,0,0,0,12,3115565,10070504,9,103,,,
152289,9/24/14,3,2,1,1,2,5,3,0,0,0,0,0,0,4,0,7,3117100,10073351,0,149,30.274993,-97.732749,
172745,3/18/16,8,0,0,1,2,0,0,19,0,0,0,0,0,4,0,4,3115043,10070649,9,48,,,
172468,3/15/16,8,2,1,1,5,0,3,14,0,0,0,0,0,1,0,14,3117807,10070086,1,335,,,
151259,9/2/14,8,0,0,1,2,2,0,0,0,0,0,0,0,0,0,11,3115886,10070622,0,336,30.267703,-97.737921,
146084,4/11/14,7,2,0,2,4,2,2,21,0,0,0,0,0,0,0,4,3092685,10030238,0,337,30.158282,-97.814212,
174666,6/26/16,7,2,0,1,4,0,0,10,0,0,0,0,0,0,0,4,3113578,10042555,2,147,,,
176358,10/14/16,9,2,0,1,4,0,0,8,5,0,0,0,1,4,0,5,3126219,10056687,3,135,,,
152461,9/27/14,6,0,0,1,4,2,2,0,3,0,0,0,1,0,4,8,3134863,10123884,0,338,,,
156963,2/28/15,6,2,1,2,2,0,2,11,0,0,0,0,0,1,0,10,3122312,10108995,4,339,,,
156982,2/28/15,6,2,1,2,2,0,2,37,0,0,0,0,0,1,0,11,3122312,10108995,4,339,,,
171502,2/17/16,4,2,0,1,2,0,3,8,0,0,0,0,0,0,0,6,3150865,10082058,1,340,,,
154399,12/25/14,7,2,0,1,4,4,1,0,1,1,0,0,4,4,0,9,3111135,10039685,0,341,30.182727,-97.755153,
173635,4/22/16,6,2,0,1,4,0,2,10,0,0,0,0,0,0,0,5,3123857,10100628,4,342,,,
143571,2/13/14,10,2,3,1,2,2,1,3,4,0,0,0,0,1,0,12,3130926,10087173,0,104,30.31251,-97.688648,
146346,4/18/14,9,2,3,1,5,5,1,3,0,0,0,0,0,0,0,6,3148681,10048994,0,343,,,
174024,5/16/16,4,0,0,1,2,0,0,48,11,3,0,0,2,2,0,7,3132143,10075005,1,344,,,
170870,1/31/16,10,2,0,1,5,0,1,41,0,0,0,0,0,0,0,6,3127317,10090562,1,345,,,
164623,8/10/15,6,2,1,2,4,0,2,1,0,0,0,0,0,6,0,14,3129612,10103726,4,226,,,
174049,5/17/16,7,2,1,1,4,0,2,8,0,0,0,0,0,6,0,10,3115352,10044956,2,346,,,
169184,12/4/15,9,2,0,1,2,0,0,0,0,0,0,0,0,4,0,12,3114497,10056575,3,347,,,
145898,4/4/14,10,2,0,1,5,1,3,0,0,0,0,0,0,0,0,7,3125893,10094573,0,348,,,
146824,5/7/14,6,2,0,1,5,2,0,0,0,0,0,0,0,0,0,8,3134448,10106735,0,349,30.36549,-97.676421,
146825,5/7/14,6,2,0,1,5,2,0,0,0,0,0,0,0,0,0,4,3134448,10106735,0,349,30.36549,-97.676421,
154225,12/17/14,9,2,0,1,2,2,3,0,0,0,0,0,0,0,0,0,3114120,10060648,0,350,,,
154259,12/17/14,9,2,0,1,2,2,3,0,0,0,0,0,0,0,0,11,3114120,10060648,0,350,,,
157434,3/14/15,7,2,1,1,4,0,2,0,0,0,0,0,0,0,0,3,3110157,10041054,2,351,,,
159661,4/30/15,9,2,0,1,4,0,3,0,0,0,0,0,0,0,0,5,3152258,10035069,2,243,,,
169245,12/8/15,10,2,0,2,4,0,2,0,0,0,0,0,0,2,2,12,3129997,10096983,4,40,30.338618,-97.692566,
152290,9/24/14,3,2,1,1,2,5,3,0,0,0,0,0,0,4,0,4,3117100,10073351,0,149,30.274993,-97.732749,
169166,12/4/15,9,2,0,1,2,0,0,0,0,0,0,0,0,4,0,7,3114497,10056575,3,347,,,
172664,3/19/16,6,3,0,1,2,0,2,8,0,0,0,0,0,0,0,10,3134231,10124160,7,35,,,
176945,11/19/16,7,2,1,1,2,0,3,14,6,0,0,0,1,6,0,14,3096922,10046124,2,352,,,
161043,5/30/15,10,2,0,2,5,0,1,11,0,0,0,0,0,4,0,0,3124730,10090296,4,353,,,
169879,12/24/15,7,2,5,1,5,0,0,18,0,0,0,0,0,4,0,8,3092521,10035703,5,354,,,
175764,9/9/16,10,2,1,1,5,0,3,22,0,0,0,0,0,0,0,8,3127855,10084304,4,355,,,
176066,9/26/16,1,5,0,1,5,0,2,8,0,0,0,0,0,4,0,9,3111523,10120657,10,356,,,
172673,3/19/16,8,0,5,3,3,0,0,47,4,0,0,0,1,0,0,18,3115154,10070604,9,11,,,
173447,4/12/16,10,2,0,1,2,0,2,14,0,0,0,0,0,0,0,21,3122413,10093232,4,67,,,
174676,7/1/16,6,2,0,1,2,0,1,10,0,0,0,0,0,1,0,5,3127959,10106038,4,357,,,
173471,4/16/16,5,2,1,1,5,0,0,22,0,0,0,0,0,6,0,3,3083378,10053917,8,358,,,
173495,4/16/16,5,2,1,1,5,0,0,47,0,0,0,0,0,0,0,17,3083378,10053917,8,358,,,
173634,4/16/16,5,2,1,1,5,0,0,22,0,0,0,0,0,6,3,6,3083378,10053917,8,358,,,
172004,3/1/16,6,2,2,1,4,0,1,49,5,0,0,0,1,4,0,3,3135985,10117220,1,359,,,
173794,5/5/16,1,2,0,1,4,0,3,47,11,0,0,0,1,0,1,16,3104211,10148189,6,360,,,
150639,8/19/14,9,2,0,1,2,2,2,39,1,0,0,0,1,4,0,4,3119101,10057764,0,361,30.232355,-97.729313,
169167,12/4/15,9,2,0,1,2,0,0,0,1,0,0,0,2,4,0,3,3114497,10056575,3,347,,,
171989,3/4/16,8,2,0,1,4,0,3,8,0,0,0,0,0,1,0,8,3115755,10066796,9,133,,,
156104,2/11/15,11,0,0,1,2,0,2,1,0,0,0,0,0,2,0,11,-,-,0,362,,,
157570,3/18/15,7,2,0,1,5,0,0,0,0,0,0,0,0,4,0,7,3124345,10050585,2,363,,,
170328,1/10/16,7,2,0,1,5,0,0,14,0,0,0,0,0,6,0,7,3085139,10026251,5,167,,,
146420,4/23/14,9,2,4,1,2,4,2,0,0,0,0,0,0,0,0,10,3127180,10056845,0,364,30.228823,-97.703189,
165987,9/7/15,4,2,1,1,2,0,2,5,0,0,0,0,0,4,0,14,3122670,10070595,1,258,,,
157485,3/17/15,7,2,0,1,4,0,2,5,0,0,0,0,0,0,0,17,3109940,10044393,2,365,,,
174048,5/17/16,7,2,0,1,4,0,1,31,0,0,0,0,0,6,0,12,3115352,10044956,2,346,,,
148460,6/11/14,9,2,4,1,5,2,3,9,0,0,0,0,0,4,0,11,3119913,10057599,0,366,30.231297,-97.725432,
146520,4/27/14,6,2,0,2,4,11,3,11,0,0,0,0,0,0,0,3,3139146,10110290,0,367,30.374933,-97.661356,
148980,6/26/14,5,2,2,2,2,5,3,1,0,0,0,0,0,0,1,19,3066727,10041788,0,368,30.191658,-97.895331,
148459,6/11/14,9,2,0,1,5,2,1,9,1,0,0,0,1,4,0,6,3119913,10057599,0,366,30.231297,-97.725432,
142310,1/9/14,10,3,0,2,5,2,3,1,0,0,0,0,0,1,0,2,3129997,10096983,0,40,30.338618,-97.692566,
171805,2/23/16,8,0,1,1,5,0,1,10,0,0,0,0,0,0,0,13,3116205,10067850,9,369,30.263266,-97.736183,
154986,1/17/15,8,0,0,1,4,0,2,0,0,0,0,0,0,0,0,10,3115785,10070495,9,51,,,
157703,3/20/15,4,2,1,1,2,0,1,0,0,0,0,0,0,0,2,13,3150290,10079608,1,370,,,
143988,2/20/14,3,0,0,2,5,2,2,11,0,0,0,0,0,0,0,12,3114531,10077959,0,371,30.287695,-97.741607,
168025,11/4/15,6,2,1,2,5,0,3,27,0,0,0,0,0,1,0,8,3129221,10111955,4,372,,,
156101,2/10/15,10,2,0,2,1,0,1,0,0,0,0,0,0,6,0,5,3119787,10095598,7,373,,,
161241,6/3/15,10,2,0,1,2,0,0,18,1,0,0,0,1,4,0,5,3131927,10087251,1,374,,,
161070,5/29/15,7,0,0,1,5,0,3,3,1,0,0,0,2,4,0,20,3089359,10035770,5,375,,,
142655,1/20/14,9,2,1,1,4,2,0,0,0,0,0,0,0,4,0,4,3119263,10059823,0,376,30.237723,-97.727576,
168822,11/26/15,5,2,3,1,4,0,0,5,0,0,0,0,0,0,0,3,3088431,10058201,8,377,,,
170019,1/1/16,9,2,0,2,4,0,3,22,0,0,0,0,0,6,0,14,3116855,10051971,3,378,,,
170020,1/1/16,9,2,0,2,4,0,3,22,0,0,0,0,0,6,5,7,3116855,10051971,3,378,,,
174047,5/17/16,7,2,0,1,4,0,3,8,0,0,0,0,0,6,3,8,3115352,10044956,2,346,,,
177572,12/31/16,6,2,3,1,4,0,0,50,0,0,0,0,0,0,0,18,3125657,10107372,4,379,,,
145868,4/4/14,9,2,0,1,2,2,3,39,0,0,0,0,0,0,0,3,3117533,10057630,0,380,30.23165,-97.733406,
146039,4/4/14,9,2,1,1,2,2,3,39,0,0,0,0,0,0,0,3,3117533,10057630,0,380,30.23165,-97.733406,
177136,12/8/16,4,2,3,1,2,0,3,8,0,0,0,0,0,4,6,10,3137140,10085508,1,13,,,
177172,12/8/16,4,2,0,1,2,0,3,10,0,0,0,0,0,4,0,14,3137140,10085508,1,13,,,
177193,12/8/16,4,2,3,1,2,0,3,10,0,0,0,0,0,4,0,7,3137140,10085508,1,13,,,
174752,7/7/16,8,3,0,1,5,0,0,48,0,0,0,0,0,0,0,2,3115084,10070527,9,381,,,
151022,8/27/14,5,2,1,2,4,2,1,5,0,0,0,0,0,0,0,21,3108718,10053527,0,382,30.221165,-97.761862,
146000,4/4/14,9,2,0,1,2,2,3,51,0,0,0,0,0,6,0,6,3117533,10057630,0,380,30.23165,-97.733406,
148479,6/11/14,9,2,1,1,5,2,3,11,0,0,0,0,0,4,0,13,3119913,10057599,0,366,30.231297,-97.725432,
146387,4/23/14,10,2,1,1,4,6,2,11,0,0,0,0,0,0,0,7,3123201,10092959,0,383,,,
157925,3/23/15,10,2,0,1,5,0,2,0,0,0,0,0,0,0,0,9,3129997,10096983,4,40,30.338618,-97.692566,
174181,6/1/16,6,2,5,1,2,0,3,52,5,0,0,0,1,4,0,8,3125782,10107636,4,384,30.368461,-97.703866,
163424,7/14/15,7,2,0,1,4,0,3,40,0,0,0,0,0,1,0,7,3089699,10036663,5,385,,,
163445,7/14/15,7,0,0,1,4,0,3,12,0,0,0,0,0,1,0,13,3089699,10036663,5,385,,,
174913,7/15/16,9,2,0,1,4,0,2,8,0,0,0,0,1,0,0,1,3123697,10058703,3,80,,,
177552,12/31/16,6,2,0,1,4,0,0,10,0,0,0,0,0,0,0,5,3125657,10107372,4,379,,,
144821,3/15/14,9,1,4,1,2,2,2,21,0,0,0,0,0,0,0,2,3130270,10053715,0,386,,,
152486,10/7/14,10,2,3,1,2,4,3,0,0,0,0,0,0,0,0,4,3130063,10093073,0,387,30.328248,-97.691029,
171008,2/3/16,9,2,0,1,4,0,2,14,0,0,0,0,0,4,2,6,3115725,10064199,9,165,,,
176939,11/19/16,7,2,2,1,2,0,3,31,5,0,0,0,1,4,0,16,3096922,10046124,2,352,,,
174283,6/9/16,10,2,3,1,5,0,3,26,0,0,0,0,0,4,0,22,3124522,10095909,4,388,,,
177567,12/31/16,8,0,0,3,3,0,2,6,0,0,0,0,0,0,0,10,3115949,10070287,9,389,,,
156201,2/13/15,6,2,0,1,4,0,2,1,1,0,0,0,1,1,0,3,3135904,10125803,7,390,,,
176507,10/24/16,1,2,0,1,2,0,0,8,0,0,0,0,0,0,0,8,3112956,10114736,7,391,,,
176508,10/24/16,1,2,0,1,2,0,0,8,0,0,0,0,0,0,0,5,3112956,10114736,7,391,,,
168312,11/12/15,10,1,0,1,5,0,0,21,0,0,0,0,0,1,0,4,3125782,10098359,4,392,,,
169989,12/28/15,7,2,0,1,5,0,0,11,3,0,0,0,1,1,0,8,3100423,10033116,5,393,,,
146388,4/23/14,10,2,1,1,4,6,2,11,0,0,0,0,0,0,0,15,3123201,10092959,0,383,,,
153140,10/31/14,5,2,4,1,5,4,0,3,0,0,0,0,0,0,0,8,3076327,10056287,0,394,30.230465,-97.864748,
170332,1/13/16,8,3,0,1,5,0,0,8,0,0,0,0,0,0,0,14,3116097,10070500,9,395,,,
170350,1/13/16,8,3,0,1,5,0,0,8,0,0,0,0,0,0,0,3,3116097,10070500,9,395,,,
173266,4/6/16,10,2,1,1,5,0,2,8,0,0,0,0,0,0,0,13,3132563,10095314,1,239,,,
170015,12/17/15,5,1,0,2,5,0,0,0,0,0,0,0,0,6,0,2,3112660,10068723,9,396,,,
144310,2/23/14,9,2,0,1,4,6,2,0,0,0,0,0,0,4,3,8,3128846,10058778,0,397,30.222346,-97.836521,
152519,10/7/14,10,2,3,1,2,4,3,0,0,0,0,0,1,0,0,6,3130063,10093073,0,387,30.328248,-97.691029,
152520,10/7/14,10,2,3,1,2,4,3,0,0,0,0,0,0,4,0,13,3130063,10093073,0,387,30.328248,-97.691029,
162467,6/27/15,9,0,0,2,2,0,1,15,0,0,0,0,0,4,2,6,3118973,10059156,3,398,,,
153319,11/5/14,1,2,2,1,5,9,2,18,9,0,0,0,0,4,0,8,3104691,10132306,0,399,30.438132,-97.768639,
153320,11/5/14,1,2,2,2,5,3,3,1,0,0,0,0,0,4,0,8,3104691,10132306,0,399,30.438132,-97.768639,
175604,9/2/16,6,3,0,1,5,0,1,10,0,0,0,0,0,0,1,4,3127650,10106327,4,400,,,
175605,9/2/16,6,2,0,1,5,0,1,10,0,0,0,0,0,0,5,4,3127650,10106327,4,400,,,
176733,11/11/16,5,5,0,1,4,0,0,33,0,0,0,0,0,6,0,3,3079138,10058105,8,401,,,
176807,11/11/16,5,5,0,1,4,0,0,33,5,0,0,0,2,1,0,5,3079138,10058105,8,401,,,
148383,6/11/14,6,2,0,1,4,2,0,35,0,0,0,0,0,4,0,1,3121586,10105485,0,402,30.362965,-97.717252,
157435,3/15/15,4,2,2,1,4,0,1,15,1,0,0,0,2,4,0,5,3123525,10065719,3,213,,,
166583,9/21/15,10,2,0,1,4,0,2,0,0,0,0,0,0,0,0,12,3120207,10106467,7,403,,,
176107,9/28/16,7,2,5,2,4,0,2,10,0,0,0,0,0,4,1,4,3117011,10029699,2,218,,,
143629,2/13/14,6,4,0,1,2,2,0,0,1,0,0,0,1,1,1,5,3125789,10103174,0,404,30.35654,-97.703909,
162661,6/27/15,9,3,1,2,2,0,0,1,0,0,0,0,0,4,0,7,3118973,10059156,3,398,,,
163045,7/8/15,3,3,0,2,5,0,3,21,0,0,0,0,0,4,0,8,3108350,10076841,9,405,,,
175664,9/2/16,6,2,1,1,5,0,1,10,0,0,0,0,0,0,0,9,3127650,10106327,4,400,,,
144311,2/23/14,9,2,0,1,4,6,2,53,0,0,0,0,0,0,0,8,3128846,10058778,0,397,30.222346,-97.836521,
176830,11/11/16,5,5,0,1,4,0,0,33,6,0,0,0,2,4,0,8,3079138,10058105,8,401,,,
176129,9/30/16,5,2,0,1,2,0,2,8,5,0,0,0,1,4,2,0,3106491,10046404,3,406,,,
144518,3/9/14,9,0,0,1,5,2,3,21,0,0,0,0,0,0,0,4,3122189,10058144,0,407,,,
144770,3/9/14,9,0,0,1,4,6,2,21,0,0,0,0,0,0,0,13,3122189,10058144,0,407,,,
159202,4/22/15,7,2,5,1,4,0,2,21,4,0,0,0,0,1,0,7,3097156,10035748,2,408,,,
163242,7/10/15,9,2,0,2,2,0,3,0,0,0,0,0,0,0,0,5,3155136,10037564,2,409,,,
174924,7/18/16,9,2,0,1,5,0,0,10,5,0,0,0,3,4,0,12,3121901,10060285,3,410,,,
145708,4/1/14,9,2,0,1,4,2,2,5,1,0,0,0,1,0,0,8,3121437,10057605,0,411,30.231272,-97.720962,
153917,12/7/14,10,2,0,1,4,6,2,0,0,0,0,0,0,1,0,13,3132251,10094075,0,412,30.331176,-97.683984,
146721,5/3/14,1,1,0,1,5,2,2,21,0,0,0,0,0,1,0,16,3124663,10124277,0,413,,,
144248,2/27/14,10,2,0,2,5,2,0,1,0,0,0,0,0,1,1,4,3124318,10091299,0,414,30.323953,-97.709875,
173181,4/4/16,6,2,0,1,5,0,2,8,0,0,0,0,0,0,0,4,3122063,10105311,4,415,,,
169609,12/19/15,9,3,0,2,4,0,1,11,0,0,0,0,0,0,0,14,3121621,10057896,3,416,,,
152496,10/5/14,9,2,3,1,2,11,1,37,0,0,0,0,0,0,3,7,3129293,10058727,0,417,30.233861,-97.696421,
152523,10/5/14,9,2,3,1,2,11,1,37,0,0,0,0,0,0,3,8,3129293,10058727,0,417,30.233861,-97.696421,
152497,10/5/14,9,2,3,1,2,11,3,37,0,0,0,0,0,0,3,19,3129293,10058727,0,417,30.233861,-97.696421,
157186,3/6/15,3,2,2,1,4,0,0,1,0,0,0,0,0,4,2,21,3113820,10096069,7,418,,,
173716,5/3/16,4,5,0,2,4,0,2,8,0,0,0,0,0,1,3,5,3128959,10071635,1,419,,,
171868,2/27/16,8,0,0,1,2,0,2,8,0,0,0,0,0,1,2,8,3116231,10070731,9,420,,,
148985,6/26/14,12,2,5,2,4,2,3,1,0,0,0,0,0,0,0,0,3147197,10133303,0,421,,,
143870,2/16/14,3,3,0,1,4,2,0,3,0,0,0,0,0,1,0,12,3117723,10109362,0,422,30.374087,-97.729098,
175099,8/7/16,3,2,0,2,4,0,3,48,0,0,0,0,0,0,0,10,3110570,10071475,9,423,,,
157569,3/19/15,8,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,3115416,10070416,9,21,,,
157604,3/19/15,8,0,5,1,2,0,0,1,0,0,0,0,0,0,0,4,3115416,10070416,9,21,,,
157605,3/19/15,8,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5,3115416,10070416,9,21,,,
148299,6/10/14,9,2,0,1,5,2,0,11,0,0,0,0,0,0,0,0,3116444,10063724,0,424,30.247771,-97.73417,
161787,6/12/15,10,0,0,1,5,0,0,5,0,0,0,0,0,3,1,4,3126215,10094471,4,425,,,
164402,8/5/15,10,2,0,1,5,0,0,0,0,0,0,0,0,1,0,1,3124421,10090196,4,426,,,
176661,11/6/16,8,0,0,1,5,0,0,19,0,0,0,0,0,4,2,12,3115448,10070595,9,427,,,
174008,5/16/16,6,2,0,1,4,0,0,8,0,0,0,0,0,0,0,4,3126008,10103105,4,428,,,
176511,10/25/16,10,0,1,1,4,0,0,8,0,0,0,0,0,0,1,7,3125094,10087248,4,429,,,
146094,4/15/14,9,3,2,1,2,2,0,54,2,0,0,0,6,4,2,4,3119792,10057015,0,430,,,
142553,1/16/14,6,3,0,1,4,6,2,5,0,0,0,0,0,6,0,4,3125782,10107636,0,384,30.368461,-97.703866,
162826,7/5/15,3,2,3,1,4,0,3,11,9,0,0,0,0,1,1,5,3111716,10075083,9,267,,,
145899,4/6/14,4,2,0,1,2,2,3,0,0,0,0,0,0,1,0,7,3130878,10075514,0,431,,,
157622,3/21/15,8,0,0,1,2,0,0,0,0,0,0,0,0,0,1,3,3115491,10070521,9,19,,,
148099,6/2/14,3,2,0,2,5,5,3,1,0,0,0,0,0,1,1,14,3108088,10074968,0,432,30.280157,-97.762184,
174326,6/9/16,10,2,3,1,5,0,3,26,0,0,0,0,0,0,0,13,3124522,10095909,4,388,,,
172969,3/24/16,6,0,3,2,4,0,0,8,4,0,0,0,0,0,0,3,3127684,10099283,4,433,,,
142869,1/25/14,9,2,2,1,4,2,0,15,0,0,0,0,0,0,0,4,3130131,10056916,0,434,30.228866,-97.693624,
152687,10/12/14,8,0,5,1,4,1,0,0,0,0,0,0,0,0,0,1,3115043,10070649,0,48,30.267442,-97.740636,
153806,11/28/14,10,2,1,1,4,2,0,0,0,0,0,0,0,0,0,1,3126690,10088315,0,435,30.315309,-97.70208,
161642,6/11/15,9,2,0,1,4,0,0,39,1,0,0,0,1,2,0,4,3121438,10058363,3,283,,,
168604,11/20/15,9,2,1,1,4,0,0,0,0,0,0,0,0,0,0,1,3114248,10052063,3,436,,,
173818,5/9/16,6,2,0,1,4,0,0,8,0,0,0,0,0,0,0,0,3134898,10101953,4,437,,,
173851,5/9/16,6,2,0,1,4,0,0,8,0,0,0,0,0,0,0,1,3134898,10101953,4,437,,,
177345,12/16/16,7,2,1,1,1,0,0,8,0,0,0,0,0,0,0,4,3095552,10035958,5,438,,,
145252,3/23/14,8,3,0,1,2,2,0,2,0,0,0,0,0,0,0,6,3115566,10070504,0,103,30.266989,-97.738964,
145135,3/23/14,8,0,0,1,2,2,0,2,0,0,0,0,0,0,0,6,3115566,10070504,0,103,30.266989,-97.738964,
145251,3/23/14,8,0,0,1,2,2,2,2,0,0,0,0,0,0,0,16,3115566,10070504,0,103,30.266989,-97.738964,
145134,3/23/14,8,3,0,1,2,2,0,0,0,0,0,0,0,0,0,3,3115566,10070504,0,103,30.266989,-97.738964,
159868,5/5/15,7,0,0,1,2,0,1,11,1,0,0,0,1,4,0,3,3106560,10042356,2,272,,,
161948,6/14/15,8,0,5,1,2,0,0,1,4,0,0,0,0,1,0,3,3115155,10070604,9,11,,,
145329,3/23/14,8,3,0,2,5,2,1,9,0,0,0,0,0,1,0,6,3115542,10070511,0,71,30.267011,-97.739041,
145308,3/22/14,9,2,0,1,5,2,0,11,0,0,0,0,0,0,0,5,3121315,10059905,0,119,30.237305,-97.720497,
153686,11/21/14,1,2,2,1,5,2,3,13,10,0,0,0,4,4,0,17,3113237,10133393,0,439,30.44025,-97.741729,
157602,3/18/15,8,0,0,1,5,0,0,0,0,0,0,0,0,0,0,-1,3115491,10070521,9,19,,,
173581,4/23/16,8,3,0,1,5,0,0,8,0,0,0,0,0,0,0,12,3115534,10070296,9,1,,,
176551,10/29/16,8,2,5,1,5,0,0,8,0,0,0,0,0,0,0,5,3115180,10070609,9,52,,,
161886,6/14/15,8,0,5,3,3,0,0,1,4,0,0,0,0,1,0,2,3115155,10070604,9,11,,,
161949,6/14/15,8,0,5,3,3,0,0,1,4,0,0,0,0,1,0,3,3115155,10070604,9,11,,,
162641,6/30/15,4,2,0,1,4,0,0,0,0,0,0,0,1,10,0,6,3122854,10068589,3,440,,,
159904,5/5/15,7,0,0,1,2,0,1,11,2,0,0,0,1,1,0,3,3106560,10042356,2,272,,,
147567,5/25/14,8,0,0,1,5,3,0,0,4,0,0,0,0,0,0,12,3115491,10070521,0,19,30.267056,-97.739201,
152197,9/29/14,1,2,1,1,5,2,0,20,0,0,0,0,0,0,0,16,3124233,10124262,0,183,30.412143,-97.709605,
147559,5/25/14,8,0,5,1,5,3,0,1,4,0,0,0,0,0,0,12,3115491,10070521,0,19,30.267056,-97.739201,
165865,9/4/15,8,0,1,1,5,0,0,5,0,0,0,0,0,0,0,2,3113833,10069480,9,441,,,
175409,8/21/16,5,2,0,1,5,0,0,14,0,0,0,0,0,4,0,1,3113146,10054510,3,442,,,
157567,3/19/15,9,2,1,1,4,0,0,0,0,0,0,0,0,4,0,10,3132557,10060158,3,443,,,
177205,12/12/16,7,1,0,1,4,0,2,8,0,0,0,0,0,0,0,8,3084394,10027905,5,444,,,
154001,12/9/14,9,2,1,1,2,2,1,0,0,0,0,0,0,0,0,8,3113907,10059041,0,445,30.235166,-97.744652,
158841,4/10/15,8,0,1,2,5,0,0,1,0,0,0,0,0,0,0,3,3115491,10070521,9,43,,,
158842,4/10/15,8,0,1,2,5,0,0,1,0,0,0,0,0,0,0,2,3115491,10070521,9,43,,,
173285,4/4/16,6,2,0,1,5,0,2,8,0,0,0,0,0,4,0,4,3122063,10105311,4,415,,,
160967,5/28/15,9,1,0,2,2,0,0,0,0,0,0,0,0,0,2,3,3128693,10051980,2,446,,,
166541,9/19/15,8,2,0,1,2,0,0,2,0,0,0,0,0,0,0,2,3114818,10070707,9,307,,,
166550,9/19/15,8,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,3114818,10070707,9,307,,,
172725,3/17/16,8,3,0,1,2,0,0,8,6,0,0,0,3,4,0,5,3115174,10070416,9,447,,,
172473,3/17/16,8,3,0,1,2,0,0,8,0,0,0,0,0,4,2,3,3115174,10070416,9,447,,,
172586,3/17/16,8,3,0,1,2,0,0,8,0,0,0,0,0,4,0,12,3115174,10070416,9,447,,,
172606,3/17/16,8,3,0,1,2,0,0,8,0,0,0,0,0,4,0,6,3115174,10070416,9,447,,,
147119,5/14/14,10,2,0,1,5,5,3,11,0,0,0,0,0,0,0,7,3137985,10087946,0,448,30.313718,-97.666739,
147121,5/14/14,10,2,0,1,5,5,3,11,0,0,0,0,0,0,0,4,3137985,10087946,0,448,30.313718,-97.666739,
161526,6/6/15,3,1,0,2,5,0,0,0,0,0,0,0,0,1,0,0,3110419,10072168,9,449,,,
161541,6/6/15,3,1,0,2,5,0,0,0,0,0,0,0,0,1,0,5,3110419,10072168,9,449,,,
170613,1/24/16,8,3,1,1,5,0,0,14,0,0,0,0,0,0,0,8,3114999,10070441,9,450,,,
173348,4/8/16,5,2,0,1,5,0,3,8,0,0,0,0,0,0,0,7,3074753,10053638,8,168,,,
177359,12/17/16,1,2,0,1,5,0,0,14,0,0,0,0,0,0,0,16,3119460,10119310,7,76,,,
149810,7/22/14,10,2,0,1,4,2,0,0,0,0,0,0,0,0,0,2,3119388,10108531,0,113,30.371749,-97.723991,
144948,3/18/14,6,1,0,2,4,2,2,53,0,0,0,0,0,0,0,13,3128171,10100704,0,451,30.349146,-97.696582,
177141,12/8/16,8,2,3,1,2,0,3,8,0,0,0,0,0,1,0,6,3115755,10066796,9,133,,,
177170,12/8/16,8,2,3,1,2,0,3,8,0,0,0,0,0,0,0,14,3115755,10066796,9,133,,,
146325,4/19/14,8,0,0,1,5,2,0,0,0,0,0,0,0,0,0,3,3115491,10070521,0,19,30.267056,-97.739201,
161044,5/30/15,10,2,0,2,5,0,1,11,2,0,0,0,1,4,0,12,3124730,10090296,4,353,,,
173601,4/23/16,8,3,0,1,5,0,0,8,0,0,0,0,0,0,0,2,3115534,10070296,9,1,,,
173602,4/23/16,8,3,0,1,5,0,0,8,0,0,0,0,0,0,0,3,3115534,10070296,9,1,,,
174005,5/16/16,9,2,1,1,5,0,0,8,0,0,0,0,0,0,0,6,3115896,10060537,9,452,,,
176662,11/6/16,8,0,0,1,5,0,0,10,0,0,0,0,0,0,0,3,3115403,10070458,9,6,,,
